idempenho,ente,historico,vlr_empenhado,elemdespesatce,distancia,desvio_percentual_mediana
201800270134900010000000815,ANGRA DOS REIS,AQUISICAO DOS MEDICAMENTOS  1 000 COMP  DUTASTERIDA 0 5MG E 3 000 COMP  PIRIDOSTIGMINA 60MG PARA ATENDER A DEMANDA DE PACIENTES QUE FAZEM USO DE MEDICAMENTOS  CONFORME MM NO 818 2018 SSA SUGER   PROCESSO NO 2018018742,8064.0,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.2528635823730374,366.7774182531735
201800270134900010000000404,ANGRA DOS REIS,AQUISICAO DE MEDICAMENTOS 5 000 AMPOLAS DO ITEM 271 E 80 FRASCOS DO ITEM 384  DO PREGAO PRESENCIAL NO 026 2017 PROC  2017004739  MM DESPESA  318 2018 SSA SUGER  ,1894.0,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.25356990928070644,9.632493820871842
201800080126800020000000152,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS GLICLAZIDA 30 MG  180 COMPRIMIDOS  E BROMETO DE TIOTROPIO 2 5 MCG  SOL  INALATORIA FRASCO COM 60 DOSES  06 FRASCOS   PARA A PACIENTE MARIA DAS DORES DA SILVA CANDIDO  PROCESSO NO 0000513 71 2018 8 19 0053 ,2005.02,SENTENCAS JUDICIAIS,0.2554644416812307,16.058787096475427
201832000042532040320400123,CAMPOS DOS GOYTACAZES,AQUISICAO DE MEDICAMENTOSPARA ATENDER A DEMANDA DAFMS  CONF SAC 027 18 SAF 070 18   SRP 001 2017 2017 099 000027 4 RP ITEM 238 CIPROFLOXACINO  CLORIDRATO 500 MG,359992.2,MATERIAL DE CONSUMO,0.2580073433204454,20737.82610457342
201800080126800020000000531,SAO JOAO DA BARRA,AQUISICAO DO MEDICAMENTO FUMARATO DE FORMOTEROL 12MCG   BUDESONIDA 400MCG FRASCO COM 60 DOSES   QUANTIDADE DE 6 FRASCOS   110 31   6 X 110 31   661 86  E MEDICAMENTO ROFLUMILASTE 500MG   QUANTIDADE 180 COMPROMIDOS   6 CX C 30  179 72   1078 32  PARA,1740.18,SENTENCAS JUDICIAIS,0.26484197428131484,0.7287608749761181
201800080126800020000000156,SAO JOAO DA BARRA,AQUISICAO DO MEDICAMENTO DIAMICRIN MR 60MG  GLICAZIDA    R  58 00 X 3 CXS C  60 COMP   R  174 00PARA A PACIENTE ALMELINA JORGE AMARAL  PROCESSO JUDICIAL NO 0000509 34 2018 8 19 0053 ,174.0,SENTENCAS JUDICIAIS,0.26554393012200994,-89.92816582638243
201800080126800020000000223,SAO JOAO DA BARRA,AQUISICAO DO MEDICAMENTO APIXABANA 5MG  R  233 79 X 06 CXS   R 1 402 74   PARA O PACIENTE HERMES BARRETO  ORDEM JUDICIAL NO 0004414 18 2016 8 19 0053 ,1402.74,SENTENCAS JUDICIAIS,0.26849752168995356,-18.803651329308465
201800270134900010000000402,ANGRA DOS REIS,AQUISICAO DE MEDICAMENTOS 450 FRASCOS DO ITEM 761  DO PREGAO PRESENCIAL NO 026 2017 PROC  2017004739  MM DESPESA  316 2018 SSA SUGER ,1485.0,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.2689304672785269,-14.042104897574085
201800080126800020000000339,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS GLICLAZIDA 30MG  120 CPR   R  64 60  E CANDESARTANA 16MG   HIDROCLOROTIAZIDA 12 5 MG   60 CPR  R  55 52   P  A PACIENTE VERA ILCA P  CARVALHO  ORDEM JUDICIAL NO 0001531 30 2018 8 19 0053 ,120.12,SENTENCAS JUDICIAIS,0.2689950320354443,-93.04696137393711
201832000042532040320400122,CAMPOS DOS GOYTACAZES,AQUISICAO DE MEDICAMENTOSPARA ATENDER A DEMANDA DAFMS  CONF SAC 027 18 SAF 067 18   SRP 001 2017 PROC 2017 099 000072 4 PR2017 099 000027 4 RP ITEM 238 CIPROFLOXACINO  CLORIDRATO 500 MG ,1199966.92,MATERIAL DE CONSUMO,0.2695938693452429,69359.01052911859
