idempenho,ente,historico,vlr_empenhado,elemdespesatce,distancia
201932000042532040320400414,CAMPOS DOS GOYTACAZES,AQUISICAO DE MEDICAMENTOSINJETAVEIS PARA ATENDER AFMS E SUAS UNIDADES  CONFORME SAC 1 19 SAF 344 19 E PREGAO SRP 023 18  CONFORME SEGUE ABAIXO  ITEM 14   ALTEPLASE 50 MG   FRASCO AMPOLA ,999416.48,MATERIAL DE CONSUMO,0.13218859743322775
201900560114056010000000274,MACAE,PROCESSO NO 400393 2019  REFERENTE A DESPESA COM AQUISICAO MEDICAMENTOS COMUNS E CONTROLADOS  CONFORME ARP NO 148 2018 E PP NO 144 2018  CLOREXIDINA  DICLONATO GLICONATO 0 5  SOLUCAO ALCOOLICA FRASCO 1000ML DEXAMETASONA 4 MG ML SOLUCAO INJETAVEL FRAS,39672.0,MATERIAL DE CONSUMO,0.1391097149602547
201900020091302080000002080,SANTO ANTONIO DE PADUA,UND FUROSEMIDA 40MG UND IVERMECTINA 6MG UND PARACETAMOL 750MG UND ALPRAZOLAM 1MG UND COLLAGENASE COM CLORANFENICOL 30G UND DIPIRONA 20ML  FRASCO   GOTAS  REFERENTE A COMPRA DE MEDICAMENTOS PARA ATENDER AS NECESSIDADES DA FUNDACAO JOSE KEZEN  SEGUNDO,154.85,MATERIAL DE CONSUMO,0.14076668267007098
201900080126800020000000124,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS FUMARATO DE FORMOTEROL 12MCG   BUDESONIDA 400MCG  03 FRASCOS COM 60 DOSES CADA   R  292 33  E BROMETO DE TIOTROPIO 2 5MCG SOL  INALATORIA  03 FRASCOS C  60 DOSES CADA   R  971 47   P  A PACIENTE MARIA BENEDITA M  CORDEIRO ,1263.8,SENTENCAS JUDICIAIS,0.1438560027963086
201900020127713010000000772,PORTO REAL,REEMPENHO POR MOTIVO DE TROCA DE FICHA  REFERENTE A ATA DE REGISTRO DE PRECOS N  001 2019  AQUISICAO DE MEDICAMENTOS  ACICLOVIR 200 MG  ALBENDAZOL 400 MG  CARVEDILOL 25 MG E OUTROS ,320.0,MATERIAL DE CONSUMO,0.1452409918400488
201900090158709010000001946,VARRE SAI,TRAMADOL 12 5MG   PARACETAM 326 MG   DIACEREINA 20MG   FAMITIDINA 20MG   MELOXICAN 1 5 MG   100 CAPSULAS  AQUISICAO MATERIAL DE DISTRIBUICAO GRATUITA  MEDICAMENTO MANIPULADO PARA PACIENTE POR ORDEM JUDICIAL  PROCESSO NO 00022252 9 2013 8 19 0035,161.0,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.14722613124349748
201900080126800020000000777,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS BROMETO DE TIOTROPICO 2 5MCG   SOL  INALATORIA  3 FR C  60 DOSES R  1 094 10  E FUMARATO DE FORMOTEROL 12MCG   BUDESONIDA 400 MCG  3 FRASCOS C 60 DOSES  R 353 55   PARA A PACIENTE AMILCAR ESPIRITO SANTO DA COSTA  POR UM PER,1447.65,SENTENCAS JUDICIAIS,0.1474696930682522
201900080126800020000000825,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS  3 FRASCOS   CUMARINA 5 MG ML   HEPARINA SODICA 50 UI ML FRASCO C240ML  90 COMPRI   OLMESARTANA 40MG  PARA ATENDER O PACIENTE EDIO PACHECO DE ALVARENGA  POR UM PERIODO DE 03  TRES  MESES  DEMANDA JUD  PROCESSO 0002615662018,328.62,SENTENCAS JUDICIAIS,0.14954414907952984
201900030069803010000001122,VASSOURAS,PA 630 18 MEMO 113 19 SAMU PREGAO PRESENCIAL REGISTRO DE PRECO 005 19 HOMOLOGADOB EM 19 08 19 CONTRATO 031 19 SUCCINATO DE HIDROCORTISONA 100MG PO LIOFILIZADO PARA INJECAO MARCA BLAU CETOPROFENO 100MG 2ML AMPOLA 2ML  C 100 MARCA  HIPOLABOR DOPAMINA 5,23528.3,MATERIAL DE CONSUMO,0.15169736965934355
201900010121701010000000134,SAO SEBASTIAO DO ALTO,ACETILSITEINA 200 MG   SACHE BROMIDRATO DE FENOTEROL 5MG ML 20 ML CLORIDRATO DE CICLOBENZAPINA 5 MG CLORIDRATO DE DOPAMINA 5 MG ML INSULINA LISPRO 100 UI ML   COM CANETA PARACETAMOL GOTAS   15 ML RANITIDINA 150 MG SORO FISIOLOGICO 0 9  500 ML AQUISIC,5428.62,MATERIAL DE CONSUMO,0.15203132514595008
201900080126800020000000844,SAO JOAO DA BARRA,AQUISICAO DO MEDICAMENTO FUMARATO DE FORMOTEROL 12MCG   BUDESONIDA 400CG   03 FRASCOS COM 60 DOSES CADA   R  1 094 10   E BROMETO DE TIOTROPICO 2 5MCG  SOL INALATORIA   03 FRASCOS COM 60 DOSES CADA   R  346 50    PARA ATENDER A PACIENTE MARIA BENEDIT,1440.6,SENTENCAS JUDICIAIS,0.1526230557614512
201900020091302080000000273,SANTO ANTONIO DE PADUA,ALPRAZOLAN 0 5MG ALPRAZOLAN 1MG CLORIDRATO DE PAROXETINA 20MG CLORIDRATO DE TRAMADOL 50MG CLORIDRATO DE TRAZODONA 50MG CLOXAZOLAM 2MG DIVALPROATO DE SODIO 250MG FENITOINA 100MG FENOBARBITAL 100MG FOSFATO DE CODEINA 30MG   PARACETAMOL 500MG FUMARATO D,9365.4,MATERIAL DE CONSUMO,0.15493012938470985
201900030069803010000000556,VASSOURAS,PA 011 18 MEMO 044 19 PREGAO PRESENCIAL REGISTRO DE PRECO 006 18 CONTRATO 032 18 HOMOLOGADO EM 05 06 18 MEDICAMENTOS FARMACIA BASICA BUDESONIDA 32MCG AEROSOL 120 OU 200 DOSES MARCA  BIOSSINTETICA GLICLAZIDA 30MG COMPRIMDO DE LIBERACAO PROLONGADA MARC,8296.0,MATERIAL DE CONSUMO,0.15515453781196087
201900080126800020000000780,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS FUMARATO DE FORMETEROL 12MCG   BUDESONIDA 400MCG  03 FRASCOS COM 60 DOSES   R  311 93   TRIMETAZIDINA MR 35MG  180 COMP  R  407 34  E COLECALCIFEROL 7000 UI  12 COMP   R  30 26   PARA ATENDER O PACIENTE JORGE CORDEIRO DA SI,749.53,SENTENCAS JUDICIAIS,0.15577404877775325
201900080126800020000000250,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS  FUMARATO DE FORMOTEROL 12MCG   BUDESONIDA 400 MCG   03 FRASCOS COM 60 DOSES   R  316 44  E BROMETO DE TIOTROPICO 2 5 MCG SOL  INALATORIA  03 FRASCOS C  60 DOSES   R  1 103 94   PARA A PACIENTE MARIA BENEDITA MELO CORDEIRO,1420.38,SENTENCAS JUDICIAIS,0.15678462548337524
201900080126800020000000819,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS  03 FRASCOS INSULINA LISPRO 100 UI ML   FRACSO 10ML  06 FRASCOS INSULINA GLARGINA 100UI ML   FRASCO 10ML  180COMPR  LOSARTANA 25MG PARA ATENDER O PACIENTE TATIANO AMARAL RANGEL  POR UM PERIODO DE 03  TRES  MESES  DEMANDA JU,2175.99,SENTENCAS JUDICIAIS,0.15717191999754843
201900080126800020000000841,SAO JOAO DA BARRA,AQUISICAO DO MEDICAMENTOS APIXABANA   5 MG 180 COMPR  E ROSUVASTATINA CALCICA 10 MG  90 COMPR   PARA ATENDER O PACIENTE DOMINGOS APRIGIO NUNES  POR UM PERIODO DE 03  TRES  MESES  DEMANDA JUDICIAL  00007353920188190053 ,970.2,SENTENCAS JUDICIAIS,0.15756387805621963
201900090158709010000001052,VARRE SAI,ACIDO ACETIL SALICILICO COMPRIMIDO 100MG SOBRAL AMPICILINA 50MG ML PO P  SUSPENSAO ORAL 60ML PRATI CLORIDRATO DE AMBROXOL 30MG 5ML XAROPE ADULTO NATULAB CLORIDRATO DE RANITIDINA COMPRIMIDO 150MG MEDQUIMICA DIPIRONA 500MG ML SOLUCAO ORAL 10ML FAR,1298.1,MATERIAL DE CONSUMO,0.15830725823995595
201900020127404010000000577,MIGUEL PEREIRA,AQUISICAO DE MEDICAMENTO  10 FRASCOS DE XOLAIR 150 MG   OMALIZUMABE 150 MG DE PO P SOLUCAO INJETAVEL  CONFORME OFICIO 835 2018  DA DEFENSORIA PUBLICA DA VARA UNICA DE MIGUEL PEREIRA  PARA ATENDER O PACIENTE GABRIEL THOMAZ PEREIRA LAVRADOR   PROC  757,17361.6,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.15926620475305697
201928000042728070280700281,CAMPOS DOS GOYTACAZES,AQUISICAO DE MEDICAMENTOS BASICOS OBJETIVANDO ATENDER AS DEMANDAS ORIUNDAS DA SECRETARIA MUNICIPAL DE SAUDE  CONFORME PREGAO SRP 025 2018 SAF 0299 18 ITEM 25   AMOXICILINA CLAVULANATO 50MG ML 12 5MG ML   SUSPENSAO ORAL   75ML,25565.0,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.15927675738194214
201900080126800020000000456,SAO JOAO DA BARRA,AQUISICAO DE IBANDRONATO DE SODIO 150MG  03 R 183 30   FOSFATO DISSODICO CITIDINA 2 5MG TRIFOSFATO URIDINA 1 5MG ACETATO HIDROXOCOBALAMINA 1 0 MG  180CPR  R 384 57  E FUMARATO FORMOTEROL 12MCG  BUDESONIDA 400MCG FR C 60 DOSES  03 FR SEM BOMBINHA  SO,845.13,SENTENCAS JUDICIAIS,0.1614262372799361
201900560114056010000001505,MACAE,DESPESA COM AQUISICAO DE MEDICAMENTOS E INSUMOS FARMACEUTICOS  CONFORME ARP FMS NO 105 2019   PP FMS NO 049 2019  MEDROXIPROGESTERONA  ACETATO 150MG ML SUSPENSAO INJETAVEL F A 1ML HALOPERIDOL  DECANOATO 50MG ML SOLUCAO INJETAVEL AMPOLA 1ML  PORT NO 3,153050.0,MATERIAL DE CONSUMO,0.1623894857403959
201900560114056010000001495,MACAE,DESPESA COM AQUISICAO DE MEDICAMENTOS E INSUMOS FARMACEUTICOS  CONFORME ARP FMS NO 105 2019   PP FMS NO 049 2019  MEDROXIPROGESTERONA  ACETATO 150MG ML SUSPENSAO INJETAVEL F A 1ML HALOPERIDOL  DECANOATO 50MG ML SOLUCAO INJETAVEL AMPOLA 1ML  PORT NO 3,153050.0,MATERIAL DE CONSUMO,0.1623894857403959
201932000042532040320400114,CAMPOS DOS GOYTACAZES,AQUISICAO DE MEDICAMENTOSINJETAVEIS PARA ATENDER AFMS  CONFORME SAF 0080 192018 099 000034 5 RP  COMO SE SEGUEM  ITEM 156 OMEPRAZOL 40 MG FRASCO AMPOLA ,314466.5,MATERIAL DE CONSUMO,0.16312732927364249
201900080126800020000000827,SAO JOAO DA BARRA,AQUISICAO DOS MEDICAMENTOS  196 COMPR  VILDAGLIPINA 50 MG  180 COMPR  FUMARATO DE FORMOTEROL 12MCG  FRASCO C  60 DOSES  150MG E 90 COMPR   ROFLUMILASTE 500MG  PARA ATENDER O PACIENTE OTAVIO MENDONCADAS NEVES  POR UM PERIODO DE 03  TRES  MESES  DEMAN,1554.26,SENTENCAS JUDICIAIS,0.16574525990374234
201900090158709010000002504,VARRE SAI,TRAMADOL 12 5MG  PARACETAMOL 325MG  DIACEREINA 20MG  FAMOTIDINA 20MG  MELOXICAM 7 5MG   100 CAPS AQUISICAO MATERIAL DE DISTRIBUICAO GRATUITA  DOACAO DE MEDICAMENTO ORIUNDO DE PROCESSO JUDICIAL ,161.3,MATERIAL  BEM OU SERVICO PARA DISTRIBUICAO GRATUITA,0.16687413873123846
201900560114056010000000787,MACAE,DESPESA COM AQUISICAO DE MEDICAMENTOS E INSUMOS FARMACEUTICOS  CONFORME ARP FMS NO 105 2019   PP FMS NO 049 2019  MEDROXIPROGESTERONA  ACETATO 150MG ML SUSPENSAO INJETAVEL F A 1ML CEFTRIAXONA 1 G PO PARA SOLUCAO INJETAVEL IM F A   AMPOLA DILUENTE  ,135620.0,MATERIAL DE CONSUMO,0.16729991895280183
201900400126640200000000026,IGUABA GRANDE,AGUA OXIGENADA 10V ALGOADAO HIDROFILO 500GR ABAIXADOR DE LINGUA C  100 PALITOS LUVA DE PROCEDIMENTO G FITA CREPE HOSPITALAR 19 X 50 MICROPORE 0 5 CM X 4 5 M OLEO CICATRIZANTE A BASE DE ACIDOS GRAXOS ESSENCIAIS FRASCO 100 ML SERINGA DESCARTAVEL 01ML C,29010.1,MATERIAL DE CONSUMO,0.1683236200420225
201900090158709030000002717,VARRE SAI,COMPRESSA CIRURGICA DE GAZE HIDROFILA 13 FIOS 5 DOBRAS  8 CAMADAS  7 5X7 5 CM ESTERIL 100  ALGODAO  10 UNIDADES MEDBRAS TIRAS REAGENTES PARA MEDICAO DE GLICOSE NO SANGUE C 50UNID  A FIRMA DEVERA FORNECER O APARELHO CASO A FITA FORNECIDA NAO CORR,2799.0,MATERIAL DE CONSUMO,0.16989547368097724
201900080126800020000000199,SAO JOAO DA BARRA,AQUISICAO DO MEDICAMENTO DABIGATRANA ETEXILATO 150 MG  6 CXS  C 30X 121 78  R  730 68   PARA O PACIENTE AMARO JOSE PORTO  ORDEM JUDICIAL NO 0000387 84 2019 8 19 0053 ,730.68,SENTENCAS JUDICIAIS,0.1701724776065371
